full_address,name,salesman
"1600 East Dakota Avenue, Pierre, SD 57501",River Cities Public Transit,Mike Klauda
"205 North 4th Street, Aberdeen, SD 57401",Aberdeen Ride Line,Mike Klauda
"418 Western Avenue, Brookings, SD 57006",Brookings Area Transit Authority,Mike Klauda
"901 East 7th Street, Yankton, SD 57078",Yankton Transit,Mike Klauda
"700 East Broadway Avenue, Pierre, SD 57501",State of South Dakota - DOT,Mike Klauda
"2651 University Avenue SE, Minneapolis, MN 55414-3207",J.A. Wedum Foundation,Mike Klauda
"2845 Hamline Avenue North, Roseville, MN 55113",Presbyterian Homes & Services,Mike Klauda
"10985 Lake Blvd, Chisago City, MN 55013",Chisago Lakes Achieve Center,Mike Klauda
"218 Main Street South, Hutchinson, MN 55350","West Central Industries, Inc (WCI)",Mike Klauda
"427 East 10th Street, Litchfield, MN 55355","ProWorks, Inc",Mike Klauda
"20 West 12th Street, St. Paul, MN 55155",Disabled American Veterans of MN,Mike Klauda
"330 US Highway 14, Tyler, MN 56178",Hope DAC,Mike Klauda
,"West Central Industries, Inc (Willmar office)",Mike Klauda
"2225 28th Street, Slayton, MN 56172",Murray County DAC,Mike Klauda
"1901 Delafield St., Waukesha, Wi 53188",Waukesha Police Department,Mike Klauda
"11550 Rupp Drive, Burnsville, MN 55337",Minnesota Valley Transit Authority,Mike Klauda
"2015 Tumble Weed Trail, Spearfish, SD 57783",Prairie Hills Transit,Mike Klauda
"3003 Snelling Avenue North, St, Paul, MN 55113",University of Northwestern - St. Paul,Mike Klauda
"11785 Justen Circle, Maple Grove, MN 55369",Midwest ParaTransit Services,Mike Klauda
,MN Party Bus,Mike Klauda
"12800 Arbor Lakes Parkway North, Maple Grove, MN 55369",City of Maple Grove,Mike Klauda
"4001 NW 19th Avenue, Rochester, MN 55901",Benedictine Health - Madonna Towers,Mike Klauda
"1424 Old Knoxville Hwy, Sevierville, TN 37876",Wilderness at the Smokies,Mike Klauda
,The Free Book Buggie,Mike Klauda
"9 Rustic Lodge West, Minneapolis, MN 55419","TRUST, Inc",Mike Klauda
,Beacon Mobility,Mike Klauda
"423 1ST AVE, EDGERTON, MN 56128",EDGERTON SCHOOL DISTRICT #581-01,Paul Fiereck
"930 40TH nw, ROCHESTER, MN 55901",BOYS AND GIRLS CLUB OF ROCHESTER,Paul Fiereck
"3810 180th Ave NE, ST CHARLES, MN 55972",Mueller Bus Services,Paul Fiereck
"25874 COUNTY RD 37, ST. Charles, MN 55972",PAGEL BUS COMPANY-Sold to John Mueller,Paul Fiereck
"312 N SPRAGUE ST, CALEDONIA, MN 55921",SCHMITZ BUS SERVICE INC,Paul Fiereck
"1000 SHUMWAY AVE, FARIBAULT, MN 55021",SHATTUCK-ST MARY'S,Paul Fiereck
"1607 23RD AVE SE, ROCHESTER, MN 55904",WIEBOLD BUS,Paul Fiereck
"HWY 59 NORTH, FULDA, MN 56131","WITZEL BUS SERVICE, INC",Paul Fiereck
"330 3RD ST, BALATON, MN 56115",BALATON SCHOOL DISTRICT #411-01,Paul Fiereck
"560 Dunnell Drive # 211b, OWATONNA, MN 55060",RECOVERY SCHOOL OF SOUTHERN MN,Paul Fiereck
"500 SUNSET DR, JORDAN, MN 55352",JORDAN SCHOOL DISTRICT,Paul Fiereck
"700 E 2ND STREET, LYLE, MN 55953",LYLE PUBLIC SCHOOL DISTRICT #497,Paul Fiereck
,LYND SCHOOL DISTRICT #415,Paul Fiereck
,MILROY SCHOOL DISTRICT #635-01,Paul Fiereck
"PO BOX C ???, KENYON, MN 55946",BENGSTON BUS SERVICE,Paul Fiereck
"925 CHURCH AVE, ST CHARLES, MN 55972",ST CHARLES PUBLIC SCHOOL DISTRICT #858,Paul Fiereck
"201 LYNDALE AVE S, FAIRBAULT, MN 55021",THREE RIVER COMMUNITY ACTION,Paul Fiereck
,HENDRICKS PUBLIC SCHOOLS,Paul Fiereck
"203 2ND ST NW, ADAMS, MN 55909",SOUTHLAND PUBLIC SCHOOLS ISD 500,Paul Fiereck
,JACKSON CITY CENTRAL SCHOOL DISTRICT #2862,Paul Fiereck
,LAKE BENTON-VERDI SCHOOLS,Paul Fiereck
"710 4TH AVE NE, GRAND MEADOW, MN 55936",GRAND MEADOW SCHOOL DIST #495,Paul Fiereck
,Kennedy Bus Service,Paul Fiereck
"110 1ST ST NE, BLOOMING PRAIRIE, MN 55917",SEMCAC HEADSTART,Paul Fiereck
,HILLS BEAVER CREEK,Paul Fiereck
,IVANHOE SCHOOL DISTRICT #403-01,Paul Fiereck
,LAMBERTON SCHOOL DISTRICT #2882,Paul Fiereck
"1 BULLDOG AVE, BALTIC, SD 57003",BALTIC SCHOOL DIST 49-1,Paul Fiereck
"13961 Maple Knoll Way, OSSEO, MN 55369",MILLLENIUM LEARNING CENTER,Paul Fiereck
